代码,简称,单位净值,累计净值,日增长率,近1周,近1月,近3月,近6月,近1年,近2年,近3年,今年来,成立来
018258,国泰君安沪深300指数增强发起C,1.0275,1.0275,0.78%,0.86%,-3.09%,-0.87%,13.77%,22.79%,,,-1.86%,2.75%
015795,天弘创业板指数增强C,0.8151,0.8151,1.13%,2.36%,-2.69%,-1.59%,24.71%,22.76%,-16.89%,,0.2%,-18.49%
017412,创金合信中证科创创业50指数增强A,0.8958,0.8958,0.88%,1.69%,-2.52%,-0.74%,25.39%,22.75%,,,-0.2%,-10.42%
016393,易米中证科创创业50指数增强发起C,0.9196,0.9196,1.05%,1.66%,-3.27%,-2.55%,25.18%,22.68%,-8.23%,,-0.59%,-8.04%
014155,国泰君安中证500指数增强A,0.9728,0.9728,1.21%,1.38%,-3.06%,1.41%,23.44%,22.61%,1.66%,-0.73%,-0.37%,-2.72%
018014,长信中证1000指数增强C,1.0247,1.0247,1.63%,2.05%,-0.61%,7.15%,26.04%,22.53%,,,1.46%,2.47%
017413,创金合信中证科创创业50指数增强C,0.8915,0.8915,0.87%,1.69%,-2.55%,-0.81%,25.23%,22.44%,,,-0.22%,-10.85%
007045,博道沪深300指数增强C,1.3903,1.3903,0.62%,0.97%,-2.48%,-0.31%,13.54%,22.43%,3.74%,-8.65%,-1.99%,39.03%
015784,中信建投中证1000指数增强A,1.0403,1.0403,1.57%,1.68%,-1.92%,5.94%,28.99%,22.39%,3.85%,,0.47%,4.03%
005137,长信沪深300指数增强A,1.1673,1.4479,0.7%,1.77%,-1.03%,-0.77%,12.85%,22.38%,1.21%,-9.02%,-0.2%,41.27%
007275,银河沪深300指数增强A,1.3641,1.4261,0.86%,1%,-2.47%,0.42%,14.77%,22.36%,0.1%,-9.08%,-1.41%,42.71%
012901,招商创业板指数增强C,0.5826,0.5826,1.11%,2.28%,-2.31%,0.19%,24.73%,22.34%,-16.84%,-34.44%,0.31%,-41.74%
006593,博道中证500增强A,1.6943,1.9743,0.94%,0.74%,-1.65%,3.5%,23.28%,22.31%,-0.29%,-10.91%,-0.27%,104.99%
014156,国泰君安中证500指数增强C,0.9608,0.9608,1.21%,1.37%,-3.09%,1.31%,23.21%,22.13%,0.85%,-1.92%,-0.38%,-3.92%
019555,中银中证1000指数增强A,1.1909,1.1909,1.38%,1.32%,-1.93%,4.76%,28.08%,22.11%,,,0.24%,19.09%
