代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,抗风险,稳定性,择时能力
008638,广发科技创新混合,吴远怡,广发,28.74亿元,80.0,88,69.0,74.2,5,4,5,3,-5.51%,一般,16.72%,良好,24.34%,优秀,-0.09%,优秀,-15.09%,优秀,46.29%,优秀,75.0,85.0,65.0,60.0,80.0
008481,永赢股息优选C,许拓,永赢,5.26亿元,88.00000000000001,66,80.5,81.3,5,3,4,5,-5.10%,一般,-6.27%,不佳,16.65%,良好,9.30%,优秀,0.33%,优秀,---,,85.0,100.0,80.0,80.0,60.0
860029,光大阳光对冲6个,陈韵骋,上海光大证券,1.29亿元,84.00000000000001,46,81.5,78.69999999999999,5,3,3,5,1.15%,良好,1.33%,不佳,3.37%,不佳,6.55%,优秀,5.97%,优秀,---,,70.0,75.0,85.0,85.0,75.0
167508,安信价值发现两年,陈一峰,安信,1.33亿元,76.0,78,76.0,76.2,3,5,5,3,-4.74%,一般,5.18%,一般,18.79%,良好,5.63%,优秀,2.18%,优秀,---,,90.0,90.0,75.0,75.0,55.0
009206,兴银丰运稳益回报,袁作栋,兴银,1.61亿元,76.0,100,81.0,81.4,5,3,5,3,4.03%,优秀,17.72%,优秀,18.88%,优秀,7.03%,优秀,7.80%,优秀,---,,70.0,85.0,80.0,80.0,95.0
860028,光大阳光对冲6个,陈韵骋,上海光大证券,0.08亿元,84.00000000000001,46,81.5,78.69999999999999,5,3,3,5,1.25%,良好,1.53%,不佳,3.78%,不佳,7.40%,优秀,7.24%,优秀,---,,70.0,75.0,85.0,85.0,75.0
006533,易方达科融混合,刘健维,易方达,24.02亿元,88.00000000000001,100,74.0,80.8,4,5,5,4,1.24%,优秀,18.92%,优秀,41.07%,优秀,4.06%,优秀,-2.31%,优秀,130.06%,优秀,80.0,95.0,70.0,65.0,80.0
008850,景顺长城价值稳进,鲍无可,景顺长城,7.99亿元,76.0,72,79.5,77.7,3,5,5,3,-3.42%,一般,0.37%,不佳,19.80%,优秀,25.85%,优秀,38.56%,优秀,---,,85.0,90.0,80.0,80.0,60.0
009269,创金合信稳健增利,王鑫,创金合信,0.43亿元,88.00000000000001,66,84.0,83.39999999999999,4,3,5,5,0.60%,一般,2.00%,不佳,7.51%,良好,11.17%,优秀,13.90%,优秀,---,,90.0,80.0,85.0,85.0,75.0
009216,易方达瑞川混合C,杨康,易方达,0.24亿元,88.00000000000001,82,83.5,84.7,5,3,4,5,0.90%,良好,5.65%,一般,13.27%,良好,12.58%,优秀,11.28%,优秀,---,,85.0,85.0,85.0,80.0,75.0
009189,华宝成长策略混合,汤慧,华宝,1.09亿元,88.00000000000001,92,77.0,81.8,5,4,5,4,-4.06%,一般,18.14%,优秀,29.45%,优秀,-3.18%,优秀,-9.63%,优秀,---,,75.0,85.0,75.0,70.0,90.0
010136,宏利高研发6个月,王鹏,宏利,1.22亿元,76.0,100,71.0,75.4,5,3,5,3,7.34%,优秀,25.35%,优秀,62.58%,优秀,7.85%,优秀,1.78%,优秀,---,,75.0,100.0,65.0,55.0,90.0
010220,海富通消费核心混,黄峰,海富通,3.08亿元,84.00000000000001,100,74.0,79.6,5,5,3,4,7.24%,优秀,30.11%,优秀,37.30%,优秀,9.54%,优秀,-8.44%,优秀,---,,90.0,90.0,70.0,65.0,75.0
009249,易方达磐泰一年持,林虎,易方达,6.40亿元,92.0,78,83.0,85.19999999999999,5,4,4,5,0.35%,一般,2.99%,一般,8.40%,良好,8.53%,优秀,8.33%,优秀,---,,80.0,80.0,85.0,85.0,75.0
009205,兴银丰运稳益回报,袁作栋,兴银,0.71亿元,80.0,100,81.0,82.6,5,4,5,3,4.06%,优秀,17.78%,优秀,19.00%,优秀,7.26%,优秀,8.13%,优秀,---,,70.0,85.0,80.0,80.0,95.0
010372,大成成长进取混合,杜聪,大成,2.04亿元,84.00000000000001,100,73.0,79.0,5,3,3,5,8.15%,优秀,32.06%,优秀,32.77%,优秀,6.28%,优秀,0.94%,优秀,---,,65.0,85.0,70.0,65.0,95.0
010386,华安汇嘉精选混合,王斌,华安,6.64亿元,84.00000000000001,66,78.0,78.6,5,3,5,4,-4.26%,一般,1.77%,不佳,14.40%,良好,-1.64%,优秀,-6.14%,优秀,---,,80.0,85.0,80.0,80.0,55.0
010597,创金合信景雯灵活,黄弢,创金合信,0.24亿元,92.0,82,81.0,84.4,5,4,4,5,-1.12%,良好,7.25%,一般,10.56%,良好,7.24%,优秀,10.01%,优秀,---,,95.0,80.0,80.0,80.0,75.0
010057,平安瑞兴1年持有,高勇标,平安,1.69亿元,76.0,96,88.0,85.19999999999999,5,3,5,3,3.39%,优秀,5.18%,良好,13.69%,优秀,21.67%,优秀,24.51%,优秀,---,,85.0,85.0,90.0,90.0,80.0
009766,安信平稳双利3个,张明,安信,0.41亿元,88.00000000000001,92,83.5,85.7,5,5,4,4,1.21%,良好,4.61%,良好,9.29%,优秀,8.12%,优秀,7.48%,优秀,---,,85.0,80.0,85.0,85.0,75.0
009888,广发稳健优选六个,王明旭,广发,6.71亿元,84.00000000000001,60,79.5,78.9,5,3,5,4,-4.88%,不佳,3.78%,一般,12.28%,良好,-4.01%,良好,-7.29%,良好,---,,80.0,90.0,80.0,75.0,70.0
010036,广发恒通六个月持,张雪,广发,3.32亿元,92.0,80,84.5,86.3,5,4,4,5,-1.41%,不佳,6.25%,优秀,12.16%,优秀,6.37%,优秀,10.18%,优秀,---,,100.0,80.0,85.0,80.0,75.0
320005,诺安价值增长混合,吕磊,诺安,11.32亿元,88.00000000000001,66,79.5,80.69999999999999,4,3,5,5,-5.75%,一般,0.31%,不佳,14.63%,良好,-2.44%,优秀,-11.16%,优秀,37.83%,优秀,70.0,80.0,80.0,80.0,85.0
010029,富国稳进回报12,易智泉,富国,2.09亿元,88.00000000000001,27,82.0,78.3,5,4,5,4,-1.48%,不佳,0.19%,不佳,5.53%,一般,6.52%,优秀,3.68%,良好,---,,70.0,75.0,85.0,85.0,80.0
010030,富国稳进回报12,易智泉,富国,0.46亿元,76.0,24,82.0,74.4,5,3,5,3,-1.57%,不佳,-0.01%,不佳,5.11%,一般,5.67%,良好,2.44%,良好,---,,70.0,75.0,85.0,85.0,80.0
009486,光大瑞和混合A,王明旭,光大保德信,0.12亿元,88.00000000000001,84,80.0,82.80000000000001,5,5,4,4,-3.24%,一般,9.08%,一般,25.21%,优秀,-5.36%,优秀,-6.01%,优秀,---,,70.0,85.0,80.0,75.0,90.0
010598,创金合信景雯灵活,黄弢,创金合信,0.01亿元,88.00000000000001,58,80.5,80.5,5,3,4,5,-1.20%,良好,7.05%,一般,10.12%,一般,6.40%,优秀,8.70%,优秀,---,,90.0,80.0,80.0,80.0,75.0
010541,国寿安保稳和6个,黄力,国寿安保,2.65亿元,88.00000000000001,96,90.0,90.0,5,4,3,5,2.17%,优秀,5.36%,良好,10.19%,优秀,8.36%,优秀,8.27%,优秀,---,,80.0,80.0,95.0,90.0,80.0
009995,嘉实创新先锋混合,王贵重,嘉实,3.71亿元,84.00000000000001,100,76.0,80.80000000000001,5,3,3,5,2.75%,优秀,35.46%,优秀,58.46%,优秀,31.58%,优秀,17.75%,优秀,---,,100.0,100.0,70.0,65.0,75.0
010371,大成成长进取混合,杜聪,大成,4.58亿元,88.00000000000001,100,73.0,80.2,5,4,3,5,8.25%,优秀,32.29%,优秀,33.26%,优秀,7.11%,优秀,2.14%,优秀,---,,65.0,85.0,70.0,65.0,95.0
009708,工银新兴制造混合,张宇帆,工银,5.90亿元,88.00000000000001,100,81.5,85.3,5,3,4,5,18.65%,优秀,44.64%,优秀,77.23%,优秀,32.39%,优秀,12.03%,优秀,---,,100.0,100.0,80.0,70.0,65.0
