代码,简称,基金经理,基金公司,资产规模,评级评分,涨幅评分,业绩评分,综合评分,上海证券评级,招商证券评级,济安金信评级,晨星评级,近3月涨幅,近3月四分位,近6月涨幅,近6月四分位,近1年涨幅,近1年四分位,近2年涨幅,近2年四分位,近3年涨幅,近3年四分位,近5年涨幅,近5年四分位,选证能力,收益率,抗风险,稳定性,管理规模
007684,华商转债精选债券,张永志,华商,0.51亿元,84.00000000000001,64,55.5,64.9,5,3,3,5,3.33%,优秀,4.56%,优秀,5.56%,良好,3.33%,不佳,-3.16%,不佳,---,,75.0,55.0,50.0,55.0,70.0
007683,华商转债精选债券,张永志,华商,0.86亿元,84.00000000000001,64,55.5,64.9,5,3,3,5,3.39%,优秀,4.72%,优秀,5.86%,良好,3.94%,不佳,-2.30%,不佳,---,,75.0,55.0,50.0,55.0,70.0
009203,鹏扬稳利债券A,陶永超,鹏扬,11.85亿元,84.00000000000001,74,79.0,80.0,5,5,3,4,1.67%,一般,2.56%,优秀,5.66%,优秀,8.41%,一般,11.56%,良好,---,,80.0,80.0,80.0,75.0,75.0
009461,东方臻萃3个月定,车日楠,东方,1.75亿元,76.0,30,72.5,69.3,3,5,5,3,0.97%,不佳,0.61%,不佳,3.70%,一般,13.36%,优秀,19.01%,优秀,---,,80.0,75.0,70.0,75.0,75.0
010227,博时双季享持有期,李禹成,博时,4.53亿元,88.00000000000001,94,78.0,82.60000000000001,5,3,4,5,2.17%,优秀,2.43%,优秀,4.82%,良好,10.80%,优秀,12.78%,优秀,---,,70.0,80.0,80.0,75.0,75.0
008036,蜂巢恒利债券C,李海涛,蜂巢,8.36亿元,84.00000000000001,92,79.0,81.8,5,3,5,4,2.14%,良好,4.17%,良好,9.86%,优秀,12.84%,优秀,11.39%,优秀,---,,90.0,100.0,75.0,70.0,80.0
010804,天弘庆享债券C,彭玮,天弘,0.01亿元,76.0,62,75.5,74.3,5,3,5,3,2.14%,优秀,2.45%,一般,4.74%,不佳,8.05%,优秀,9.81%,优秀,---,,60.0,75.0,80.0,75.0,65.0
010440,诺德安鸿A,赵滔滔,诺德,3.27亿元,88.00000000000001,12,66.5,67.5,4,5,5,4,1.10%,不佳,-0.49%,不佳,2.04%,不佳,7.34%,一般,11.37%,良好,---,,60.0,65.0,65.0,70.0,80.0
010803,天弘庆享债券A,彭玮,天弘,20.65亿元,80.0,62,78.0,77.0,5,4,5,3,2.15%,优秀,2.48%,一般,4.85%,不佳,8.44%,优秀,10.31%,优秀,---,,65.0,80.0,80.0,75.0,80.0
001246,兴银长乐定开债,范泰奇,兴银,1.48亿元,76.0,62,70.0,71.0,3,5,5,3,1.95%,良好,2.45%,良好,3.65%,一般,10.16%,优秀,13.17%,优秀,25.58%,优秀,65.0,70.0,70.0,75.0,70.0
007091,东兴兴福一年定开,司马义买买提,东兴,6.22亿元,76.0,100,62.5,70.3,3,5,5,3,4.41%,优秀,3.71%,优秀,7.28%,优秀,19.90%,优秀,23.65%,优秀,30.65%,优秀,0.0,90.0,65.0,70.0,75.0
008864,鑫元中短债A,黄轩,鑫元,60.05亿元,80.0,54,84.5,80.1,5,2,5,4,0.67%,一般,0.94%,一般,2.68%,一般,7.79%,优秀,9.38%,优秀,---,,90.0,70.0,85.0,85.0,90.0
012099,华夏稳健增利滚动,张海静,华夏,3.05亿元,84.00000000000001,27,85.0,78.9,3,3,5,5,0.46%,不佳,0.77%,不佳,2.99%,不佳,5.96%,良好,8.28%,优秀,---,,80.0,70.0,90.0,85.0,75.0
011657,天弘京津冀发起债,刘嗣兴,天弘,0.07亿元,84.00000000000001,66,67.0,72.0,3,3,5,5,2.59%,优秀,2.88%,良好,5.37%,一般,9.37%,优秀,11.64%,优秀,---,,65.0,80.0,65.0,70.0,65.0
012418,平安合进1年定开,田元强,平安,3.66亿元,76.0,82,80.5,79.3,3,5,5,3,1.46%,一般,2.14%,良好,4.53%,良好,10.64%,优秀,12.65%,优秀,---,,90.0,80.0,80.0,80.0,75.0
012233,招商安盈债券C,尹晓红,招商,2.95亿元,84.00000000000001,54,69.5,72.30000000000001,3,3,5,5,-0.27%,不佳,1.95%,不佳,7.65%,良好,10.35%,优秀,11.57%,优秀,---,,80.0,85.0,65.0,65.0,75.0
011683,华夏鼎华一年定开,孙蕾,华夏,16.21亿元,76.0,100,75.0,77.8,3,5,5,3,2.51%,优秀,2.68%,优秀,7.25%,优秀,14.34%,优秀,16.81%,优秀,---,,90.0,90.0,70.0,70.0,80.0
011490,创金合信双季享6,王一兵,创金合信,30.78亿元,84.00000000000001,27,79.5,75.60000000000001,3,3,5,5,0.67%,不佳,0.69%,不佳,3.13%,不佳,8.64%,良好,12.83%,优秀,---,,80.0,70.0,80.0,80.0,85.0
005428,渤海汇金汇添益3,周珂,渤海汇金,20.04亿元,76.0,40,73.0,70.6,3,5,5,3,1.38%,一般,1.09%,不佳,3.85%,一般,10.76%,优秀,14.44%,优秀,20.41%,良好,80.0,75.0,70.0,75.0,80.0
007530,嘉实汇鑫中短债C,王立芹,嘉实,47.13亿元,84.00000000000001,76,79.5,80.5,3,3,5,5,0.94%,良好,1.20%,良好,3.14%,良好,7.91%,优秀,10.36%,优秀,13.18%,不佳,80.0,70.0,80.0,80.0,85.0
007769,东兴兴瑞一年定开,司马义买买提,东兴,15.27亿元,76.0,100,68.5,73.9,3,5,5,3,3.58%,优秀,2.80%,优秀,6.63%,优秀,19.05%,优秀,27.39%,优秀,42.78%,优秀,60.0,85.0,65.0,70.0,80.0
000552,中加纯债一年A,张楠,中加,5.23亿元,76.0,50,61.0,64.4,3,5,5,3,2.72%,优秀,1.23%,不佳,3.92%,一般,10.14%,优秀,14.80%,优秀,25.08%,优秀,0.0,75.0,65.0,70.0,75.0
011656,天弘京津冀发起债,刘嗣兴,天弘,10.55亿元,88.00000000000001,66,69.0,74.39999999999999,3,4,5,5,2.66%,优秀,3.08%,良好,5.73%,一般,10.09%,优秀,12.71%,优秀,---,,70.0,80.0,65.0,70.0,80.0
003223,广发景丰纯债A,吴迪,广发,55.38亿元,88.00000000000001,96,73.5,80.1,5,4,5,4,2.20%,优秀,1.88%,良好,5.48%,优秀,12.07%,优秀,12.75%,优秀,21.93%,优秀,70.0,85.0,70.0,70.0,90.0
003157,招商招悦纯债C,王娟娟,招商,27.41亿元,88.00000000000001,100,76.5,82.3,4,3,5,5,2.51%,优秀,2.95%,优秀,5.70%,优秀,11.80%,优秀,13.36%,优秀,25.07%,优秀,75.0,85.0,75.0,75.0,80.0
970025,华安证券聚赢一年,樊艳,华安证券资管,7.07亿元,84.00000000000001,42,83.5,79.50000000000001,3,3,5,5,0.91%,不佳,1.39%,一般,3.82%,一般,11.10%,优秀,13.09%,优秀,---,,95.0,75.0,85.0,80.0,75.0
008668,西部利得双盈一年,张英,西部利得,10.86亿元,76.0,82,73.5,75.10000000000001,3,5,5,3,1.66%,良好,1.88%,一般,5.07%,良好,10.72%,优秀,12.72%,优秀,---,,80.0,80.0,70.0,75.0,80.0
008510,南方鼎利一年债券,黄河,南方,5.38亿元,76.0,92,76.5,77.9,3,5,5,3,2.07%,良好,2.34%,良好,5.58%,优秀,11.34%,优秀,14.30%,优秀,---,,80.0,85.0,75.0,75.0,75.0
100072,富国强回报定开债,黄纪亮,富国,12.28亿元,76.0,82,76.5,76.9,3,5,5,3,1.81%,良好,1.71%,一般,5.00%,良好,11.26%,优秀,13.34%,优秀,24.70%,优秀,80.0,80.0,75.0,75.0,80.0
008700,泰康瑞丰3月定开,经惠云,泰康,8.61亿元,76.0,92,74.0,76.4,3,5,5,3,2.24%,良好,2.20%,良好,6.32%,优秀,12.74%,优秀,14.17%,优秀,---,,85.0,85.0,70.0,70.0,80.0
002645,大成景荣债券C,朱浩然,大成,1.19亿元,76.0,44,70.0,69.2,5,3,5,3,1.77%,良好,1.31%,不佳,3.95%,不佳,9.12%,优秀,9.67%,优秀,20.28%,良好,60.0,75.0,70.0,75.0,70.0
007958,华泰柏瑞益通三个,罗远航,华泰柏瑞,21.22亿元,76.0,82,80.5,79.3,3,5,5,3,1.53%,一般,2.00%,良好,5.00%,良好,11.43%,优秀,14.21%,优秀,23.46%,优秀,80.0,80.0,80.0,80.0,85.0
003324,东方永兴18个月,吴萍萍,东方,20.25亿元,76.0,72,73.5,74.10000000000001,3,5,5,3,1.44%,一般,1.05%,不佳,5.63%,优秀,13.14%,优秀,20.19%,优秀,29.65%,优秀,80.0,85.0,70.0,70.0,80.0
007860,平安5-10年期,刘晓兰,平安,2.27亿元,84.00000000000001,100,69.5,76.9,3,3,5,5,6.42%,优秀,6.57%,优秀,10.66%,优秀,16.06%,优秀,17.79%,优秀,27.41%,优秀,65.0,100.0,65.0,65.0,75.0
